State,Gender,Year,Deaths
Florida,Male,2004,1558
Kentucky,Female,2004,93
Florida,Female,2004,324
Idaho,Female,2004,20
Nevada,Male,2004,328
Nevada,Female,2004,54
West Virginia,Female,2004,39
Idaho,Male,2004,155
Vermont,Female,2004,0
Iowa,Female,2005,27
Texas,Male,2005,2081
Texas,Female,2005,390
Iowa,Male,2005,174
Nevada,Male,2005,330
New Jersey,Male,2005,391
Nebraska,Female,2005,15
New York,Female,2005,100
Louisiana,Female,2005,133
Utah,Male,2005,199
Louisiana,Male,2005,722
West Virginia,Male,2005,215
West Virginia,Female,2005,46
New York,Male,2005,912
Virginia,Female,2005,129
Virginia,Male,2005,752
Nevada,Female,2005,54
Nebraska,Male,2005,119
Arkansas,Male,2005,350
North Dakota,Female,2005,0
New Jersey,Female,2005,39
North Carolina,Female,2005,163
Colorado,Female,2005,73
Connecticut,Female,2005,17
North Carolina,Male,2005,957
Colorado,Male,2005,454
New Hampshire,Female,2005,10
Massachusetts,Female,2005,22
New Hampshire,Male,2005,78
Maryland,Male,2005,596
Kentucky,Male,2005,448
North Dakota,Male,2005,58
Kansas,Female,2005,27
Kentucky,Female,2005,97
New Mexico,Male,2005,228
Massachusetts,Male,2005,202
New Mexico,Female,2005,33
Vermont,Female,2005,0
Vermont,Male,2005,37
Arizona,Male,2005,816
Arizona,Female,2005,114
Arkansas,Female,2005,87
Connecticut,Male,2005,170
Utah,Female,2005,27
Kansas,Male,2005,228
Maryland,Female,2005,54
Washington,Female,2005,69
Oregon,Male,2005,335
Hawaii,Male,2005,23
District of Columbia,Female,2005,10
District of Columbia,Male,2005,143
Alabama,Female,2005,123
Alabama,Male,2005,614
Oklahoma,Female,2005,78
Idaho,Female,2005,23
Oklahoma,Male,2005,381
Maine,Male,2005,98
Maine,Female,2005,12
Montana,Male,2005,137
Montana,Female,2005,21
Pennsylvania,Male,2005,1204
Illinois,Male,2005,907
Hawaii,Female,2005,0
Pennsylvania,Female,2005,146
Illinois,Female,2005,115
Missouri,Female,2005,89
Missouri,Male,2005,667
Alaska,Male,2005,99
Alaska,Female,2005,18
South Dakota,Male,2005,77
South Dakota,Female,2005,0
Oregon,Female,2005,52
Wyoming,Female,2005,17
Wyoming,Male,2005,54
Minnesota,Female,2005,49
Minnesota,Male,2005,311
Florida,Male,2005,1539
Florida,Female,2005,291
South Carolina,Male,2005,491
Tennessee,Female,2005,151
Idaho,Male,2005,171
Wisconsin,Male,2005,424
California,Male,2005,3025
Tennessee,Male,2005,827
Ohio,Male,2005,976
Rhode Island,Female,2005,0
Mississippi,Male,2005,372
California,Female,2005,349
Ohio,Female,2005,135
Washington,Male,2005,486
Mississippi,Female,2005,85
Indiana,Male,2005,610
Indiana,Female,2005,86
Rhode Island,Male,2005,35
Wisconsin,Female,2005,46
Delaware,Female,2005,0
Georgia,Male,2005,882
Delaware,Male,2005,67
Georgia,Female,2005,173
Michigan,Male,2005,941
Michigan,Female,2005,124
South Carolina,Female,2005,95
Maryland,Female,2006,60
Maryland,Male,2006,601
Mississippi,Male,2006,388
Missouri,Female,2006,106
Missouri,Male,2006,658
Florida,Female,2006,331
New Hampshire,Female,2006,10
New Hampshire,Male,2006,73
Kentucky,Male,2006,461
Rhode Island,Female,2006,0
Kentucky,Female,2006,69
Rhode Island,Male,2006,39
Florida,Male,2006,1735
Mississippi,Female,2006,81
Arkansas,Female,2006,53
Wyoming,Male,2006,70
Colorado,Female,2006,88
Arkansas,Male,2006,373
Hawaii,Female,2006,0
Hawaii,Male,2006,26
Vermont,Male,2006,46
Vermont,Female,2006,0
Georgia,Female,2006,184
Alabama,Female,2006,123
Maine,Female,2006,17
New Mexico,Female,2006,29
Colorado,Male,2006,403
New Mexico,Male,2006,245
Pennsylvania,Male,2006,1231
Louisiana,Female,2006,124
Pennsylvania,Female,2006,134
Louisiana,Male,2006,706
South Carolina,Female,2006,126
South Carolina,Male,2006,485
Wyoming,Female,2006,11
Washington,Male,2006,472
Washington,Female,2006,65
Georgia,Male,2006,942
Alabama,Male,2006,659
Maine,Male,2006,86
Nevada,Male,2006,340
Arizona,Male,2006,835
Arizona,Female,2006,139
District of Columbia,Male,2006,126
North Carolina,Female,2006,180
North Carolina,Male,2006,950
District of Columbia,Female,2006,0
Michigan,Male,2006,1021
Massachusetts,Female,2006,22
Massachusetts,Male,2006,185
Michigan,Female,2006,135
Tennessee,Female,2006,151
Tennessee,Male,2006,788
California,Male,2006,2930
Oklahoma,Female,2006,80
California,Female,2006,366
Texas,Female,2006,410
Indiana,Female,2006,93
Nebraska,Male,2006,126
Nebraska,Female,2006,14
Indiana,Male,2006,646
Iowa,Male,2006,163
Iowa,Female,2006,30
Wisconsin,Male,2006,369
Wisconsin,Female,2006,46
Ohio,Male,2006,961
Ohio,Female,2006,151
Delaware,Male,2006,65
Delaware,Female,2006,11
Texas,Male,2006,1993
Connecticut,Male,2006,154
Connecticut,Female,2006,19
Oklahoma,Male,2006,398
Nevada,Female,2006,58
Idaho,Male,2006,152
Minnesota,Male,2006,296
Minnesota,Female,2006,36
New York,Female,2006,87
New York,Male,2006,910
Oregon,Male,2006,316
Oregon,Female,2006,56
North Dakota,Male,2006,43
South Dakota,Female,2006,0
Utah,Male,2006,187
Utah,Female,2006,35
Idaho,Female,2006,26
South Dakota,Male,2006,68
Alaska,Male,2006,98
Montana,Male,2006,113
Montana,Female,2006,0
Illinois,Male,2006,936
Illinois,Female,2006,99
Alaska,Female,2006,14
Kansas,Male,2006,252
Kansas,Female,2006,39
New Jersey,Male,2006,449
West Virginia,Male,2006,198
West Virginia,Female,2006,53
Virginia,Female,2006,129
Virginia,Male,2006,676
New Jersey,Female,2006,43
North Dakota,Female,2006,0
New Hampshire,Female,2007,10
New Hampshire,Male,2007,68
Rhode Island,Male,2007,35
Arkansas,Female,2007,69
Alabama,Female,2007,143
Alabama,Male,2007,668
Mississippi,Male,2007,450
Wyoming,Male,2007,66
Wyoming,Female,2007,0
Missouri,Female,2007,105
Missouri,Male,2007,649
Minnesota,Male,2007,303
Minnesota,Female,2007,37
Alaska,Female,2007,11
Alaska,Male,2007,109
Montana,Female,2007,18
Montana,Male,2007,119
Michigan,Male,2007,960
Michigan,Female,2007,128
Wisconsin,Male,2007,411
Wisconsin,Female,2007,71
Maryland,Female,2007,68
Maryland,Male,2007,597
Washington,Female,2007,65
Washington,Male,2007,477
Nevada,Male,2007,340
Nevada,Female,2007,71
Arkansas,Male,2007,357
West Virginia,Female,2007,34
Arizona,Male,2007,825
Arizona,Female,2007,113
Massachusetts,Female,2007,24
Massachusetts,Male,2007,208
Nebraska,Male,2007,116
Nebraska,Female,2007,23
West Virginia,Male,2007,232
Maine,Male,2007,94
Colorado,Female,2007,64
Mississippi,Female,2007,87
Kansas,Female,2007,33
Kansas,Male,2007,256
Utah,Female,2007,38
Utah,Male,2007,203
District of Columbia,Female,2007,12
District of Columbia,Male,2007,130
New York,Male,2007,884
New York,Female,2007,92
South Dakota,Male,2007,45
South Dakota,Female,2007,0
Delaware,Male,2007,65
Oregon,Female,2007,60
Oregon,Male,2007,322
Idaho,Male,2007,165
Kentucky,Female,2007,100
